2026-05-31 23:32:34 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "high-risk", "actor_id": "user-1", "outcome": "requested", "timestamp": "2026-05-31T18:02:34.967012+00:00", "risk_level": "HIGH", "details": {"parameters": []}}
2026-05-31 23:32:34 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "echo", "actor_id": "anonymous", "outcome": "requested", "timestamp": "2026-05-31T18:02:34.975442+00:00", "risk_level": "LOW", "details": {"parameters": ["message"]}}
2026-05-31 23:32:34 | INFO | jarvis.security.audit | {"event_type": "tool.approval", "tool_name": "echo", "actor_id": "anonymous", "outcome": "approved", "timestamp": "2026-05-31T18:02:34.975442+00:00", "risk_level": "LOW", "details": {"approver": "system", "reason": "Policy approved."}}
2026-05-31 23:32:34 | INFO | jarvis.security.audit | {"event_type": "tool.execution", "tool_name": "echo", "actor_id": "anonymous", "outcome": "success", "timestamp": "2026-05-31T18:02:34.975442+00:00", "risk_level": "LOW", "details": {"approved": true, "approver": "system"}}
2026-05-31 23:34:37 | ERROR | jarvis.llm | Ollama generate request failed: <urlopen error down>
Traceback (most recent call last):
  File "D:\jarvis\llm\manager.py", line 61, in generate
    response_data = self._post_json("/api/generate", payload)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\jarvis\llm\manager.py", line 110, in _post_json
    response = self._request_json("POST", path, payload)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\jarvis\llm\manager.py", line 133, in _request_json
    raise LLMRequestError(str(last_error) if last_error is not None else "Ollama request failed.")
llm.manager.LLMRequestError: <urlopen error down>
2026-05-31 23:34:37 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "high-risk", "actor_id": "user-1", "outcome": "requested", "timestamp": "2026-05-31T18:04:37.881772+00:00", "risk_level": "HIGH", "details": {"parameters": []}}
2026-05-31 23:34:37 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "echo", "actor_id": "anonymous", "outcome": "requested", "timestamp": "2026-05-31T18:04:37.890162+00:00", "risk_level": "LOW", "details": {"parameters": ["message"]}}
2026-05-31 23:34:37 | INFO | jarvis.security.audit | {"event_type": "tool.approval", "tool_name": "echo", "actor_id": "anonymous", "outcome": "approved", "timestamp": "2026-05-31T18:04:37.890162+00:00", "risk_level": "LOW", "details": {"approver": "system", "reason": "Policy approved."}}
2026-05-31 23:34:37 | INFO | jarvis.security.audit | {"event_type": "tool.execution", "tool_name": "echo", "actor_id": "anonymous", "outcome": "success", "timestamp": "2026-05-31T18:04:37.890162+00:00", "risk_level": "LOW", "details": {"approved": true, "approver": "system"}}
2026-05-31 23:55:01 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "high-risk", "actor_id": "user-1", "outcome": "requested", "timestamp": "2026-05-31T18:25:01.620590+00:00", "risk_level": "HIGH", "details": {"parameters": []}}
2026-05-31 23:55:01 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "echo", "actor_id": "anonymous", "outcome": "requested", "timestamp": "2026-05-31T18:25:01.644901+00:00", "risk_level": "LOW", "details": {"parameters": ["message"]}}
2026-05-31 23:55:01 | INFO | jarvis.security.audit | {"event_type": "tool.approval", "tool_name": "echo", "actor_id": "anonymous", "outcome": "approved", "timestamp": "2026-05-31T18:25:01.646102+00:00", "risk_level": "LOW", "details": {"approver": "system", "reason": "Policy approved."}}
2026-05-31 23:55:01 | INFO | jarvis.security.audit | {"event_type": "tool.execution", "tool_name": "echo", "actor_id": "anonymous", "outcome": "success", "timestamp": "2026-05-31T18:25:01.646649+00:00", "risk_level": "LOW", "details": {"approved": true, "approver": "system"}}
2026-05-31 23:55:09 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "high-risk", "actor_id": "user-1", "outcome": "requested", "timestamp": "2026-05-31T18:25:09.301042+00:00", "risk_level": "HIGH", "details": {"parameters": []}}
2026-05-31 23:55:09 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "echo", "actor_id": "anonymous", "outcome": "requested", "timestamp": "2026-05-31T18:25:09.314604+00:00", "risk_level": "LOW", "details": {"parameters": ["message"]}}
2026-05-31 23:55:09 | INFO | jarvis.security.audit | {"event_type": "tool.approval", "tool_name": "echo", "actor_id": "anonymous", "outcome": "approved", "timestamp": "2026-05-31T18:25:09.314604+00:00", "risk_level": "LOW", "details": {"approver": "system", "reason": "Policy approved."}}
2026-05-31 23:55:09 | INFO | jarvis.security.audit | {"event_type": "tool.execution", "tool_name": "echo", "actor_id": "anonymous", "outcome": "success", "timestamp": "2026-05-31T18:25:09.314604+00:00", "risk_level": "LOW", "details": {"approved": true, "approver": "system"}}
2026-06-01 00:06:39 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "high-risk", "actor_id": "user-1", "outcome": "requested", "timestamp": "2026-05-31T18:36:39.082866+00:00", "risk_level": "HIGH", "details": {"parameters": []}}
2026-06-01 00:06:39 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "echo", "actor_id": "anonymous", "outcome": "requested", "timestamp": "2026-05-31T18:36:39.099758+00:00", "risk_level": "LOW", "details": {"parameters": ["message"]}}
2026-06-01 00:06:39 | INFO | jarvis.security.audit | {"event_type": "tool.approval", "tool_name": "echo", "actor_id": "anonymous", "outcome": "approved", "timestamp": "2026-05-31T18:36:39.099758+00:00", "risk_level": "LOW", "details": {"approver": "system", "reason": "Policy approved."}}
2026-06-01 00:06:39 | INFO | jarvis.security.audit | {"event_type": "tool.execution", "tool_name": "echo", "actor_id": "anonymous", "outcome": "success", "timestamp": "2026-05-31T18:36:39.099758+00:00", "risk_level": "LOW", "details": {"approved": true, "approver": "system"}}
2026-06-01 00:06:51 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "high-risk", "actor_id": "user-1", "outcome": "requested", "timestamp": "2026-05-31T18:36:51.452632+00:00", "risk_level": "HIGH", "details": {"parameters": []}}
2026-06-01 00:06:51 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "echo", "actor_id": "anonymous", "outcome": "requested", "timestamp": "2026-05-31T18:36:51.460557+00:00", "risk_level": "LOW", "details": {"parameters": ["message"]}}
2026-06-01 00:06:51 | INFO | jarvis.security.audit | {"event_type": "tool.approval", "tool_name": "echo", "actor_id": "anonymous", "outcome": "approved", "timestamp": "2026-05-31T18:36:51.461133+00:00", "risk_level": "LOW", "details": {"approver": "system", "reason": "Policy approved."}}
2026-06-01 00:06:51 | INFO | jarvis.security.audit | {"event_type": "tool.execution", "tool_name": "echo", "actor_id": "anonymous", "outcome": "success", "timestamp": "2026-05-31T18:36:51.461133+00:00", "risk_level": "LOW", "details": {"approved": true, "approver": "system"}}
2026-06-01 00:15:52 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "high-risk", "actor_id": "user-1", "outcome": "requested", "timestamp": "2026-05-31T18:45:52.827839+00:00", "risk_level": "HIGH", "details": {"parameters": []}}
2026-06-01 00:15:52 | INFO | jarvis.security.audit | {"event_type": "tool.request", "tool_name": "echo", "actor_id": "anonymous", "outcome": "requested", "timestamp": "2026-05-31T18:45:52.834942+00:00", "risk_level": "LOW", "details": {"parameters": ["message"]}}
2026-06-01 00:15:52 | INFO | jarvis.security.audit | {"event_type": "tool.approval", "tool_name": "echo", "actor_id": "anonymous", "outcome": "approved", "timestamp": "2026-05-31T18:45:52.834942+00:00", "risk_level": "LOW", "details": {"approver": "system", "reason": "Policy approved."}}
2026-06-01 00:15:52 | INFO | jarvis.security.audit | {"event_type": "tool.execution", "tool_name": "echo", "actor_id": "anonymous", "outcome": "success", "timestamp": "2026-05-31T18:45:52.834942+00:00", "risk_level": "LOW", "details": {"approved": true, "approver": "system"}}
